Method; Precision; Exceptions; SdgCreated; CgNodes; CgEdges; SdgNodes; SdgEdges; Time (ms); Memory (M); HasSourcedAndSink; HasLeftToRightVio; HasRightToLeftVio; TotalVios; InstVios; LineVios; DetailedLineVios; Left; Right
void main.Main.main(String[]); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 113; 141; 6198; 90047; 6757; 864; Yes; Yes; Yes; 461; 61; 6; [void main.Main.main(java.lang.String[]) (line 13) -> void main.Main.main(java.lang.String[]) (line 15), void main.Main.main(java.lang.String[]) (line 13) -> void main.Main.main(java.lang.String[]) (line 16), void main.Main.main(java.lang.String[]) (line 13) -> void main.Main.main(java.lang.String[]) (line 18), void main.Main.main(java.lang.String[]) (line 15) -> void main.Main.main(java.lang.String[]) (line 17), void main.Main.main(java.lang.String[]) (line 16) -> void main.Main.main(java.lang.String[]) (line 17), void main.Main.main(java.lang.String[]) (line 17) -> void main.Main.main(java.lang.String[]) (line 18)]; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[]); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 113; 141; 6198; 90047; 7435; 877; Yes; Yes; Yes; 461; 61; 6; [void main.Main.main(java.lang.String[]) (line 13) -> void main.Main.main(java.lang.String[]) (line 15), void main.Main.main(java.lang.String[]) (line 13) -> void main.Main.main(java.lang.String[]) (line 16), void main.Main.main(java.lang.String[]) (line 13) -> void main.Main.main(java.lang.String[]) (line 18), void main.Main.main(java.lang.String[]) (line 15) -> void main.Main.main(java.lang.String[]) (line 17), void main.Main.main(java.lang.String[]) (line 16) -> void main.Main.main(java.lang.String[]) (line 17), void main.Main.main(java.lang.String[]) (line 17) -> void main.Main.main(java.lang.String[]) (line 18)]; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[]); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 113; 141; 6198; 90047; 6756; 897; Yes; Yes; Yes; 461; 61; 6; [void main.Main.main(java.lang.String[]) (line 13) -> void main.Main.main(java.lang.String[]) (line 15), void main.Main.main(java.lang.String[]) (line 13) -> void main.Main.main(java.lang.String[]) (line 16), void main.Main.main(java.lang.String[]) (line 13) -> void main.Main.main(java.lang.String[]) (line 18), void main.Main.main(java.lang.String[]) (line 15) -> void main.Main.main(java.lang.String[]) (line 17), void main.Main.main(java.lang.String[]) (line 16) -> void main.Main.main(java.lang.String[]) (line 17), void main.Main.main(java.lang.String[]) (line 17) -> void main.Main.main(java.lang.String[]) (line 18)]; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[]); UNLIMITED_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[]); UNLIMITED_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[]); UNLIMITED_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[]); UNLIMITED_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[]); UNLIMITED_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[]); UNLIMITED_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[]); UNLIMITED_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
